id;c_square;x;y;gsa;depth;strata;year;pred
15845;1401:215:496:4;15.675;41.975;18;17.95;0_200;2017;30.97224011
15846;1401:215:496:2;15.675;41.925;18;4.9;0_200;2017;30.97224011
16061;1401:215:497:3;15.725;41.975;18;17.35;0_200;2017;29.97076359
16062;1401:215:497:1;15.725;41.925;18;8.6;0_200;2017;29.97076359
16277;1401:215:497:4;15.775;41.975;18;17.2;0_200;2017;28.96928707
16278;1401:215:497:2;15.775;41.925;18;6.5;0_200;2017;28.96928707
16493;1401:215:498:3;15.825;41.975;18;17.5;0_200;2017;28.61162198
16494;1401:215:498:1;15.825;41.925;18;2.7;0_200;2017;28.61162198
16708;1401:225:208:2;15.875;42.025;18;45.65;0_200;2017;28.89777966
16709;1401:215:498:4;15.875;41.975;18;17.95;0_200;2017;28.89777966
16924;1401:225:209:1;15.925;42.025;18;54.95;0_200;2017;31.89485118
16925;1401:215:499:3;15.925;41.975;18;17.95;0_200;2017;31.89485118
16933;1401:215:459:3;15.925;41.575;18;9;0_200;2017;21.99440528
16934;1401:215:459:1;15.925;41.525;18;5.3;0_200;2017;22.14263879
17140;1401:225:209:2;15.975;42.025;18;58.6;0_200;2017;37.60288425
17141;1401:215:499:4;15.975;41.975;18;17.95;0_200;2017;37.60288425
17148;1401:215:469:2;15.975;41.625;18;10;0_200;2017;18.37622399
17149;1401:215:459:4;15.975;41.575;18;12.55;0_200;2017;18.59857556
17150;1401:215:459:2;15.975;41.525;18;11.35;0_200;2017;19.04327872
17151;1401:215:249:4;15.975;41.475;18;10.9;0_200;2017;17.79005468
17356;1401:226:100:1;16.025;42.025;18;64.35;0_200;2017;55.04951873
17357;1401:216:390:3;16.025;41.975;18;19.55;0_200;2017;55.04951873
17364;1401:216:360:1;16.025;41.625;18;11.3;0_200;2017;15.34470217
17365;1401:216:350:3;16.025;41.575;18;14.2;0_200;2017;14.88088316
17366;1401:216:350:1;16.025;41.525;18;15.05;0_200;2017;15.26268051
17367;1401:216:140:3;16.025;41.475;18;13.45;0_200;2017;15.45357919
17572;1401:226:100:2;16.075;42.025;18;66.85;0_200;2017;84.23496121
17573;1401:216:390:4;16.075;41.975;18;21.35;0_200;2017;84.23496121
17579;1401:216:360:4;16.075;41.675;18;10.45;0_200;2017;16.75406131
17580;1401:216:360:2;16.075;41.625;18;13.05;0_200;2017;12.82573209
17581;1401:216:350:4;16.075;41.575;18;14.5;0_200;2017;10.84132239
17582;1401:216:350:2;16.075;41.525;18;15.6;0_200;2017;10.80083219
17583;1401:216:140:4;16.075;41.475;18;14.45;0_200;2017;10.78058709
17584;1401:216:140:2;16.075;41.425;18;9.4;0_200;2017;10.78058709
17788;1401:226:101:1;16.125;42.025;18;65.5;0_200;2017;231.4614645
17789;1401:216:391:3;16.125;41.975;18;23.25;0_200;2017;194.1270425
17790;1401:216:391:1;16.125;41.925;18;7.3;0_200;2017;119.4581985
17794;1401:216:371:1;16.125;41.725;18;9.35;0_200;2017;20.20930574
17795;1401:216:361:3;16.125;41.675;18;12.1;0_200;2017;17.1070561
17796;1401:216:361:1;16.125;41.625;18;14.15;0_200;2017;11.53506633
17797;1401:216:351:3;16.125;41.575;18;15.1;0_200;2017;8.592354452
17798;1401:216:351:1;16.125;41.525;18;16.4;0_200;2017;8.278920454
17799;1401:216:141:3;16.125;41.475;18;16.2;0_200;2017;8.986081604
17800;1401:216:141:1;16.125;41.425;18;12.55;0_200;2017;10.7138379
18003;1401:226:101:4;16.175;42.075;18;106.2;0_200;2017;496.7311061
18004;1401:226:101:2;16.175;42.025;18;56.8;0_200;2017;496.7311061
18005;1401:216:391:4;16.175;41.975;18;33.75;0_200;2017;384.7271831
18006;1401:216:391:2;16.175;41.925;18;17.8;0_200;2017;160.719337
18010;1401:216:371:2;16.175;41.725;18;12.55;0_200;2017;21.78209619
18011;1401:216:361:4;16.175;41.675;18;13.25;0_200;2017;17.71312641
18012;1401:216:361:2;16.175;41.625;18;14.75;0_200;2017;11.47272651
18013;1401:216:351:4;16.175;41.575;18;16.95;0_200;2017;8.13401086
18014;1401:216:351:2;16.175;41.525;18;18.4;0_200;2017;7.696979455
18015;1401:216:141:4;16.175;41.475;18;19.5;0_200;2017;10.0701134
18016;1401:216:141:2;16.175;41.425;18;17.05;0_200;2017;15.25341271
18017;1401:216:131:4;16.175;41.375;18;8.65;0_200;2017;20.97876309
18219;1401:226:102:3;16.225;42.075;18;109.3;0_200;2017;669.6619495
18220;1401:226:102:1;16.225;42.025;18;55;0_200;2017;669.6619495
18221;1401:216:392:3;16.225;41.975;18;47.55;0_200;2017;547.70534
18222;1401:216:392:1;16.225;41.925;18;24.5;0_200;2017;303.7921209
