"id";"c_square";"x";"y";"gsa";"depth";"strata";"year";"pred"
15845;"1401:215:496:4";15.675;41.975;18;17.95;"0_200";2017;23581.3287280482
15846;"1401:215:496:2";15.675;41.925;18;4.9;"0_200";2017;23581.3287280482
16061;"1401:215:497:3";15.725;41.975;18;17.35;"0_200";2017;26392.3368325031
16062;"1401:215:497:1";15.725;41.925;18;8.6;"0_200";2017;26392.3368325031
16277;"1401:215:497:4";15.775;41.975;18;17.2;"0_200";2017;29203.3449369581
16278;"1401:215:497:2";15.775;41.925;18;6.5;"0_200";2017;29203.3449369581
16493;"1401:215:498:3";15.825;41.975;18;17.5;"0_200";2017;32966.7405577227
16494;"1401:215:498:1";15.825;41.925;18;2.7;"0_200";2017;32966.7405577227
16708;"1401:225:208:2";15.875;42.025;18;45.65;"0_200";2017;37682.5404569648
16709;"1401:215:498:4";15.875;41.975;18;17.95;"0_200";2017;37682.5404569648
16924;"1401:225:209:1";15.925;42.025;18;54.95;"0_200";2017;41609.1206246311
16925;"1401:215:499:3";15.925;41.975;18;17.95;"0_200";2017;41609.1206246311
16933;"1401:215:459:3";15.925;41.575;18;9;"0_200";2017;169315.118180872
16934;"1401:215:459:1";15.925;41.525;18;5.3;"0_200";2017;168353.152626165
17140;"1401:225:209:2";15.975;42.025;18;58.6;"0_200";2017;44746.4671703323
17141;"1401:215:499:4";15.975;41.975;18;17.95;"0_200";2017;44746.4671703323
17148;"1401:215:469:2";15.975;41.625;18;10;"0_200";2017;125245.03611808
17149;"1401:215:459:4";15.975;41.575;18;12.55;"0_200";2017;123802.079320646
17150;"1401:215:459:2";15.975;41.525;18;11.35;"0_200";2017;120916.16572578
17151;"1401:215:249:4";15.975;41.475;18;10.9;"0_200";2017;95273.5155126979
17356;"1401:226:100:1";16.025;42.025;18;64.35;"0_200";2017;40707.3466290288
17357;"1401:216:390:3";16.025;41.975;18;19.55;"0_200";2017;40707.3466290288
17364;"1401:216:360:1";16.025;41.625;18;11.3;"0_200";2017;97009.5545943213
17365;"1401:216:350:3";16.025;41.575;18;14.2;"0_200";2017;92388.2921766031
17366;"1401:216:350:1";16.025;41.525;18;15.05;"0_200";2017;88062.8137659533
17367;"1401:216:140:3";16.025;41.475;18;13.45;"0_200";2017;85900.074560633
17572;"1401:226:100:2";16.075;42.025;18;66.85;"0_200";2017;29491.6326937913
17573;"1401:216:390:4";16.075;41.975;18;21.35;"0_200";2017;29491.6326937913
17579;"1401:216:360:4";16.075;41.675;18;10.45;"0_200";2017;99841.1693588767
17580;"1401:216:360:2";16.075;41.625;18;13.05;"0_200";2017;85089.943543735
17581;"1401:216:350:4";16.075;41.575;18;14.5;"0_200";2017;75074.0048977517
17582;"1401:216:350:2";16.075;41.525;18;15.6;"0_200";2017;69793.3534209097
17583;"1401:216:140:4";16.075;41.475;18;14.45;"0_200";2017;67153.0276824943
17584;"1401:216:140:2";16.075;41.425;18;9.4;"0_200";2017;67153.0276824943
17788;"1401:226:101:1";16.125;42.025;18;65.5;"0_200";2017;20008.1862819643
17789;"1401:216:391:3";16.125;41.975;18;23.25;"0_200";2017;23280.7184298138
17790;"1401:216:391:1";16.125;41.925;18;7.3;"0_200";2017;29825.7827255084
17794;"1401:216:371:1";16.125;41.725;18;9.35;"0_200";2017;102750.664912247
17795;"1401:216:361:3";16.125;41.675;18;12.1;"0_200";2017;92650.2773522004
17796;"1401:216:361:1";16.125;41.625;18;14.15;"0_200";2017;72705.9959944286
17797;"1401:216:351:3";16.125;41.575;18;15.1;"0_200";2017;59873.5798185041
17798;"1401:216:351:1";16.125;41.525;18;16.4;"0_200";2017;54153.0288244019
17799;"1401:216:141:3";16.125;41.475;18;16.2;"0_200";2017;53675.9775778458
17800;"1401:216:141:1";16.125;41.425;18;12.55;"0_200";2017;58442.426078815
18003;"1401:226:101:4";16.175;42.075;18;106.2;"0_200";2017;12257.0378817231
18004;"1401:226:101:2";16.175;42.025;18;56.8;"0_200";2017;12257.0378817231
