id;c_square;x;y;gsa;depth;strata
1101;1401:142:372:4;12.275;44.775;17;2.15;0_200
1102;1401:142:372:2;12.275;44.725;17;6.85;0_200
1103;1401:142:362:4;12.275;44.675;17;6.95;0_200
1104;1401:142:362:2;12.275;44.625;17;3;0_200
1307;1401:352:123:3;12.325;45.275;17;9.7;0_200
1308;1401:352:123:1;12.325;45.225;17;8.7;0_200
1317;1401:142:373:3;12.325;44.775;17;4.9;0_200
1318;1401:142:373:1;12.325;44.725;17;10.85;0_200
1319;1401:142:363:3;12.325;44.675;17;11.85;0_200
1320;1401:142:363:1;12.325;44.625;17;11.15;0_200
1321;1401:142:353:3;12.325;44.575;17;10.45;0_200
1322;1401:142:353:1;12.325;44.525;17;10.2;0_200
1323;1401:142:143:3;12.325;44.475;17;8.4;0_200
1324;1401:142:143:1;12.325;44.425;17;7.95;0_200
1325;1401:142:133:3;12.325;44.375;17;1.4;0_200
1521;1401:352:133:4;12.375;45.375;17;7.3;0_200
1522;1401:352:133:2;12.375;45.325;17;14.4;0_200
1523;1401:352:123:4;12.375;45.275;17;17.85;0_200
1524;1401:352:123:2;12.375;45.225;17;18.8;0_200
1525;1401:352:113:4;12.375;45.175;17;17.1;0_200
1526;1401:352:113:2;12.375;45.125;17;14.7;0_200
1527;1401:352:103:4;12.375;45.075;17;5.9;0_200
1533;1401:142:373:4;12.375;44.775;17;4.4;0_200
1534;1401:142:373:2;12.375;44.725;17;14.5;0_200
1535;1401:142:363:4;12.375;44.675;17;16.05;0_200
1536;1401:142:363:2;12.375;44.625;17;14.9;0_200
1537;1401:142:353:4;12.375;44.575;17;13.7;0_200
1538;1401:142:353:2;12.375;44.525;17;14.05;0_200
1539;1401:142:143:4;12.375;44.475;17;13.25;0_200
1540;1401:142:143:2;12.375;44.425;17;11.15;0_200
1541;1401:142:133:4;12.375;44.375;17;9.45;0_200
1542;1401:142:133:2;12.375;44.325;17;8.45;0_200
1543;1401:142:123:4;12.375;44.275;17;7;0_200
1737;1401:352:134:3;12.425;45.375;17;13.4;0_200
1738;1401:352:134:1;12.425;45.325;17;18.05;0_200
1739;1401:352:124:3;12.425;45.275;17;20;0_200
1740;1401:352:124:1;12.425;45.225;17;22.05;0_200
1741;1401:352:114:3;12.425;45.175;17;23.5;0_200
1742;1401:352:114:1;12.425;45.125;17;23;0_200
1743;1401:352:104:3;12.425;45.075;17;18.2;0_200
1747;1401:142:384:3;12.425;44.875;17;2.81;0_200
1749;1401:142:374:3;12.425;44.775;17;10.05;0_200
1750;1401:142:374:1;12.425;44.725;17;19.95;0_200
1751;1401:142:364:3;12.425;44.675;17;20.4;0_200
1752;1401:142:364:1;12.425;44.625;17;19.25;0_200
1753;1401:142:354:3;12.425;44.575;17;18.15;0_200
1754;1401:142:354:1;12.425;44.525;17;17.8;0_200
1755;1401:142:144:3;12.425;44.475;17;16.35;0_200
1756;1401:142:144:1;12.425;44.425;17;14.8;0_200
1757;1401:142:134:3;12.425;44.375;17;12.75;0_200
1758;1401:142:134:1;12.425;44.325;17;10.8;0_200
1759;1401:142:124:3;12.425;44.275;17;9.5;0_200
1760;1401:142:124:1;12.425;44.225;17;8.3;0_200
1952;1401:352:144:2;12.475;45.425;17;9.7;0_200
1953;1401:352:134:4;12.475;45.375;17;17.25;0_200
1954;1401:352:134:2;12.475;45.325;17;19;0_200
1955;1401:352:124:4;12.475;45.275;17;21.65;0_200
1956;1401:352:124:2;12.475;45.225;17;23;0_200
1957;1401:352:114:4;12.475;45.175;17;24.55;0_200
1958;1401:352:114:2;12.475;45.125;17;25.25;0_200
1959;1401:352:104:4;12.475;45.075;17;25.3;0_200
1960;1401:352:104:2;12.475;45.025;17;13.4;0_200
1964;1401:142:384:2;12.475;44.825;17;9.1;0_200
1965;1401:142:374:4;12.475;44.775;17;18.65;0_200
1966;1401:142:374:2;12.475;44.725;17;23.8;0_200
1967;1401:142:364:4;12.475;44.675;17;24.15;0_200
1968;1401:142:364:2;12.475;44.625;17;23.65;0_200
1969;1401:142:354:4;12.475;44.575;17;22.9;0_200
1970;1401:142:354:2;12.475;44.525;17;22.6;0_200
1971;1401:142:144:4;12.475;44.475;17;20.3;0_200
1972;1401:142:144:2;12.475;44.425;17;18.9;0_200
1973;1401:142:134:4;12.475;44.375;17;16.35;0_200
1974;1401:142:134:2;12.475;44.325;17;14.15;0_200
1975;1401:142:124:4;12.475;44.275;17;12.1;0_200
1976;1401:142:124:2;12.475;44.225;17;10;0_200
1977;1401:142:114:4;12.475;44.175;17;8.6;0_200
2168;1401:352:245:1;12.525;45.425;17;15.35;0_200
2169;1401:352:235:3;12.525;45.375;17;18.9;0_200
2170;1401:352:235:1;12.525;45.325;17;19;0_200
2171;1401:352:225:3;12.525;45.275;17;23.55;0_200
2172;1401:352:225:1;12.525;45.225;17;25;0_200
2173;1401:352:215:3;12.525;45.175;17;26;0_200
2174;1401:352:215:1;12.525;45.125;17;26;0_200
2175;1401:352:205:3;12.525;45.075;17;27.6;0_200
2176;1401:352:205:1;12.525;45.025;17;25.65;0_200
